epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1976,1.24556,0.8443,1.18677,0.96836,0.93302,0.95758,0.59304,1.33224,0.54901,1.21697,0.0033283,0.0033283,0.0033283
2,168.499,1.18212,0.61797,1.13583,0.96219,0.9273,0.9504,0.59084,1.36191,0.61456,1.18784,0.00652973,0.00652973,0.00652973
3,248.223,1.23979,0.67576,1.16928,0.87992,0.8682,0.88484,0.47198,1.68126,0.85404,1.41141,0.00959916,0.00959916,0.00959916
4,327.853,1.27259,0.70792,1.21852,0.93831,0.87039,0.92402,0.59129,1.31926,0.70377,1.25413,0.009406,0.009406,0.009406
5,408.115,1.22693,0.64654,1.20189,0.96314,0.93141,0.95502,0.59553,1.34355,0.55708,1.24755,0.009208,0.009208,0.009208
6,488.807,1.19211,0.60349,1.18707,0.97101,0.92589,0.95511,0.61472,1.29409,0.52424,1.22992,0.00901,0.00901,0.00901
7,569.307,1.16348,0.58116,1.1741,0.9787,0.92666,0.96042,0.6585,1.17715,0.49956,1.16293,0.008812,0.008812,0.008812
8,651.006,1.14638,0.56084,1.16291,0.97872,0.92917,0.96309,0.63749,1.23802,0.49552,1.1968,0.008614,0.008614,0.008614
9,730.954,1.13272,0.54401,1.16083,0.97178,0.93696,0.96753,0.66432,1.17322,0.47353,1.15585,0.008416,0.008416,0.008416
10,810.262,1.11814,0.53212,1.15061,0.98037,0.93685,0.96891,0.66061,1.1798,0.45494,1.16061,0.008218,0.008218,0.008218
11,889.993,1.10276,0.51834,1.14261,0.97553,0.93481,0.96754,0.65135,1.19746,0.45385,1.1655,0.00802,0.00802,0.00802
12,969.536,1.09321,0.50632,1.13687,0.97269,0.95122,0.97347,0.67991,1.13917,0.43672,1.13564,0.007822,0.007822,0.007822
13,1049.51,1.081,0.49828,1.13125,0.97946,0.9396,0.97217,0.67251,1.16852,0.43375,1.14358,0.007624,0.007624,0.007624
14,1129.04,1.06365,0.48702,1.11909,0.98155,0.94606,0.97186,0.67396,1.15557,0.42728,1.14321,0.007426,0.007426,0.007426
15,1208.06,1.06012,0.49042,1.12009,0.97997,0.94512,0.97432,0.68232,1.13477,0.42302,1.12746,0.007228,0.007228,0.007228
16,1287.82,1.05146,0.47829,1.11058,0.9787,0.94819,0.97438,0.68657,1.13229,0.41006,1.12506,0.00703,0.00703,0.00703
17,1367.55,1.04155,0.47212,1.11342,0.97736,0.94841,0.97424,0.68769,1.11024,0.40524,1.12081,0.006832,0.006832,0.006832
18,1447.08,1.03126,0.46343,1.10396,0.98496,0.95497,0.97801,0.69094,1.10998,0.39712,1.1174,0.006634,0.006634,0.006634
19,1526.78,1.02623,0.4612,1.10128,0.97509,0.95216,0.9762,0.69554,1.10089,0.39479,1.11265,0.006436,0.006436,0.006436
20,1606.44,1.01729,0.45245,1.09444,0.98167,0.95446,0.97991,0.69705,1.09998,0.38765,1.11536,0.006238,0.006238,0.006238
21,1686.36,1.01022,0.44914,1.09654,0.97697,0.95544,0.97598,0.69816,1.10078,0.39244,1.11658,0.00604,0.00604,0.00604
22,1766.13,1.00097,0.43954,1.09025,0.97946,0.96158,0.98289,0.70248,1.08863,0.37783,1.10604,0.005842,0.005842,0.005842
23,1845.66,0.99705,0.43699,1.09018,0.98316,0.95855,0.98156,0.69785,1.09555,0.37664,1.11289,0.005644,0.005644,0.005644
24,1925.2,0.99121,0.43441,1.08601,0.97652,0.96201,0.98117,0.70214,1.09567,0.37139,1.11083,0.005446,0.005446,0.005446
25,2004.72,0.98307,0.42922,1.07878,0.98119,0.96295,0.98289,0.70112,1.09878,0.36947,1.11152,0.005248,0.005248,0.005248
26,2084.66,0.97153,0.41909,1.07683,0.98542,0.95779,0.98353,0.70592,1.0809,0.36531,1.10419,0.00505,0.00505,0.00505
27,2164.58,0.96952,0.42137,1.07789,0.97856,0.96201,0.98281,0.70857,1.07831,0.36174,1.10459,0.004852,0.004852,0.004852
28,2244.09,0.96494,0.41467,1.07429,0.98043,0.96329,0.98392,0.70823,1.08034,0.35904,1.10427,0.004654,0.004654,0.004654
29,2323.9,0.95533,0.41067,1.06823,0.9753,0.96764,0.98278,0.70633,1.07688,0.3598,1.10024,0.004456,0.004456,0.004456
30,2403.65,0.9508,0.40693,1.06636,0.97957,0.96529,0.98304,0.70991,1.07087,0.35822,1.0981,0.004258,0.004258,0.004258
31,2483.11,0.94242,0.40398,1.06118,0.986,0.9578,0.98297,0.709,1.07203,0.35443,1.09947,0.00406,0.00406,0.00406
32,2562.81,0.93265,0.39916,1.05835,0.98481,0.9606,0.98305,0.711,1.06718,0.3527,1.09848,0.003862,0.003862,0.003862
33,2642.58,0.92803,0.39289,1.05668,0.98273,0.96081,0.98251,0.71117,1.06779,0.35482,1.09847,0.003664,0.003664,0.003664
34,2722.58,0.91734,0.38867,1.05032,0.98174,0.96482,0.98468,0.71644,1.06622,0.3512,1.09874,0.003466,0.003466,0.003466
35,2802.33,0.91422,0.38576,1.04857,0.98143,0.96811,0.9853,0.71364,1.06952,0.34908,1.10097,0.003268,0.003268,0.003268
36,2881.57,0.90256,0.37912,1.04325,0.9824,0.96844,0.98518,0.71348,1.07015,0.34897,1.10176,0.00307,0.00307,0.00307
37,2961.06,0.89558,0.37603,1.04086,0.98333,0.96826,0.98434,0.71607,1.07009,0.34818,1.10026,0.002872,0.002872,0.002872
38,3040.43,0.8906,0.37214,1.03624,0.98563,0.96514,0.98586,0.71663,1.07225,0.34609,1.10138,0.002674,0.002674,0.002674
