epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.801,1.16483,1.70046,1.22613,0.83585,0.49587,0.55763,0.4588,0.64892,0.50463,0.92217,0.00332913,0.00332913,0.00332913
2,269.829,0.86576,0.73379,1.0458,0.839,0.64933,0.69837,0.5976,0.53628,0.42237,0.89984,0.00653055,0.00653055,0.00653055
3,399.04,0.84439,0.69164,1.04794,0.83011,0.67711,0.73936,0.60183,0.59023,0.43738,0.9189,0.00959996,0.00959996,0.00959996
4,528.665,0.83186,0.66431,1.05576,0.83069,0.7585,0.82721,0.70802,0.51739,0.38549,0.89871,0.009406,0.009406,0.009406
5,657.498,0.77216,0.59642,1.04152,0.8914,0.76172,0.87445,0.747,0.52177,0.35962,0.91532,0.009208,0.009208,0.009208
6,786.54,0.73397,0.55793,1.02565,0.88902,0.78782,0.92437,0.78796,0.48551,0.33098,0.89897,0.00901,0.00901,0.00901
7,915.278,0.71047,0.53144,1.01849,0.91551,0.80403,0.90262,0.7691,0.49863,0.32333,0.89755,0.008812,0.008812,0.008812
8,1044.1,0.68925,0.50993,1.01004,0.84616,0.88801,0.93871,0.80087,0.47097,0.31123,0.92032,0.008614,0.008614,0.008614
9,1173.43,0.67038,0.49356,1.00177,0.88521,0.87246,0.94051,0.81785,0.45433,0.29396,0.91458,0.008416,0.008416,0.008416
10,1302.97,0.65619,0.48011,0.99999,0.91143,0.85491,0.95391,0.82204,0.44763,0.28942,0.90679,0.008218,0.008218,0.008218
11,1432.84,0.64476,0.46921,0.99675,0.84985,0.91413,0.95809,0.82562,0.44146,0.28034,0.90823,0.00802,0.00802,0.00802
12,1562.57,0.63357,0.45848,0.98518,0.91182,0.88902,0.95577,0.81924,0.44336,0.2848,0.89878,0.007822,0.007822,0.007822
13,1692.03,0.62668,0.45425,0.98302,0.92626,0.91935,0.96838,0.83908,0.43909,0.2675,0.90536,0.007624,0.007624,0.007624
14,1821.4,0.6171,0.44324,0.98225,0.88948,0.92631,0.95535,0.8397,0.42971,0.26229,0.89139,0.007426,0.007426,0.007426
15,1950.6,0.61025,0.43701,0.98276,0.92737,0.9032,0.97608,0.84283,0.42839,0.26022,0.8869,0.007228,0.007228,0.007228
16,2079.58,0.60314,0.4308,0.97656,0.92702,0.90177,0.96808,0.84811,0.42215,0.2506,0.89588,0.00703,0.00703,0.00703
17,2209.03,0.59521,0.42403,0.97923,0.92939,0.92013,0.97099,0.83397,0.42266,0.24713,0.89553,0.006832,0.006832,0.006832
18,2338.12,0.59102,0.42195,0.97559,0.89873,0.94242,0.9694,0.85323,0.41461,0.2449,0.88222,0.006634,0.006634,0.006634
19,2467.83,0.58427,0.41445,0.97226,0.92971,0.93075,0.96414,0.83849,0.41934,0.24536,0.88757,0.006436,0.006436,0.006436
20,2597.09,0.57979,0.41082,0.96907,0.94088,0.92245,0.97084,0.8469,0.41274,0.23965,0.88643,0.006238,0.006238,0.006238
21,2726.59,0.57299,0.40639,0.9673,0.91407,0.93045,0.97147,0.85131,0.4096,0.23835,0.8827,0.00604,0.00604,0.00604
22,2855.59,0.57068,0.40352,0.96937,0.93109,0.94025,0.97764,0.85704,0.40571,0.23193,0.88779,0.005842,0.005842,0.005842
23,2985.07,0.56493,0.39905,0.96366,0.93885,0.93545,0.97876,0.85991,0.40616,0.22967,0.88461,0.005644,0.005644,0.005644
24,3115.07,0.56016,0.39475,0.96359,0.88743,0.96354,0.97937,0.86405,0.40439,0.22769,0.8836,0.005446,0.005446,0.005446
25,3244.46,0.55446,0.39062,0.9577,0.91399,0.94051,0.978,0.86334,0.40129,0.22733,0.87587,0.005248,0.005248,0.005248
26,3374.22,0.5538,0.38923,0.95444,0.95077,0.92073,0.97923,0.86427,0.39991,0.22647,0.87232,0.00505,0.00505,0.00505
27,3503.6,0.54519,0.38236,0.95445,0.95533,0.92207,0.978,0.86458,0.39717,0.22386,0.8791,0.004852,0.004852,0.004852
28,3633.29,0.54088,0.37902,0.95284,0.93769,0.93599,0.97923,0.86192,0.39823,0.22417,0.87953,0.004654,0.004654,0.004654
29,3762.76,0.53757,0.37435,0.95016,0.94679,0.93479,0.97873,0.86552,0.3968,0.22299,0.87807,0.004456,0.004456,0.004456
