epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.091,0.90411,1.33449,1.1793,0.89232,0.58981,0.66466,0.56981,0.56213,0.37158,0.95691,0.00333121,0.00333121,0.00333121
2,747.723,0.70903,0.63243,1.04632,0.74629,0.79242,0.83785,0.71043,0.50266,0.32646,0.94641,0.00653259,0.00653259,0.00653259
3,1109.07,0.70009,0.59589,1.0423,0.78173,0.8039,0.83451,0.71494,0.48688,0.32917,0.93544,0.00960196,0.00960196,0.00960196
4,1466.02,0.66868,0.55765,1.03206,0.88679,0.74066,0.86513,0.74256,0.45458,0.29743,0.92553,0.009406,0.009406,0.009406
5,1818.35,0.61643,0.50072,1.00997,0.81284,0.84651,0.9016,0.77723,0.4432,0.27734,0.91361,0.009208,0.009208,0.009208
6,2170.41,0.58762,0.46997,0.9972,0.8123,0.89532,0.92671,0.80674,0.42752,0.2629,0.90744,0.00901,0.00901,0.00901
7,2522.4,0.56451,0.45014,0.98682,0.85348,0.89053,0.94814,0.83294,0.41122,0.24437,0.89989,0.008812,0.008812,0.008812
8,2879.63,0.54828,0.43139,0.98096,0.92754,0.86615,0.93994,0.82408,0.40369,0.23417,0.89219,0.008614,0.008614,0.008614
9,3238.68,0.53393,0.41389,0.97333,0.89548,0.90884,0.9484,0.8223,0.40398,0.23906,0.8915,0.008416,0.008416,0.008416
10,3597.41,0.52572,0.40727,0.9691,0.9253,0.86313,0.95348,0.83605,0.40111,0.23336,0.88903,0.008218,0.008218,0.008218
11,3956.11,0.51506,0.39706,0.96502,0.90377,0.90313,0.95631,0.83768,0.39362,0.22634,0.88917,0.00802,0.00802,0.00802
12,4314.86,0.50975,0.38991,0.96217,0.95232,0.89041,0.95686,0.83942,0.39406,0.21679,0.88629,0.007822,0.007822,0.007822
13,4668.07,0.5032,0.38216,0.95897,0.9299,0.91965,0.9586,0.85058,0.38797,0.21863,0.88392,0.007624,0.007624,0.007624
14,5020.19,0.49719,0.37627,0.9573,0.9187,0.92799,0.9696,0.85215,0.38604,0.21643,0.8807,0.007426,0.007426,0.007426
15,5372.12,0.49055,0.37064,0.95413,0.95491,0.91858,0.96018,0.84786,0.38694,0.21123,0.88197,0.007228,0.007228,0.007228
16,5724.04,0.48627,0.36702,0.95237,0.92609,0.92926,0.95937,0.85064,0.38211,0.20562,0.88064,0.00703,0.00703,0.00703
17,6080.85,0.48484,0.36466,0.95058,0.94621,0.92326,0.97243,0.85713,0.38144,0.20754,0.87985,0.006832,0.006832,0.006832
18,6439.43,0.47823,0.35737,0.94822,0.9278,0.93622,0.97044,0.85764,0.37668,0.20338,0.87796,0.006634,0.006634,0.006634
19,6797.97,0.4745,0.35523,0.94735,0.94486,0.93173,0.96852,0.86157,0.37529,0.19939,0.87589,0.006436,0.006436,0.006436
20,7156.25,0.46902,0.34966,0.94357,0.94925,0.92775,0.96522,0.85599,0.3746,0.19846,0.87459,0.006238,0.006238,0.006238
21,7514.67,0.46484,0.34483,0.9435,0.94919,0.92959,0.97216,0.86115,0.37365,0.20082,0.87464,0.00604,0.00604,0.00604
22,7873.41,0.46306,0.34181,0.94124,0.94196,0.92827,0.97834,0.8714,0.37108,0.19684,0.87236,0.005842,0.005842,0.005842
23,8227.61,0.45996,0.34056,0.94164,0.95411,0.93663,0.97121,0.86562,0.36946,0.1961,0.87311,0.005644,0.005644,0.005644
24,8579.68,0.45505,0.33594,0.93921,0.94701,0.94006,0.98006,0.87123,0.36762,0.19287,0.87194,0.005446,0.005446,0.005446
25,8934.07,0.45322,0.33273,0.93754,0.93307,0.94665,0.98023,0.86852,0.36627,0.19211,0.87091,0.005248,0.005248,0.005248
26,9292.4,0.44903,0.32861,0.93418,0.95685,0.93802,0.98004,0.87084,0.36328,0.19115,0.86958,0.00505,0.00505,0.00505
